sku,name,description,price,cost,stock,category,image_url
LUNA-001,Vestido Luna Midi,"Vestido midi de lino francés en color crema, corte fluido y cinto removible. Inspirado en el slow fashion mediterráneo.",129.00,42.00,38,fashion,https://images.unsplash.com/photo-1539008835657-9e8e9680c956?w=800
LUNA-002,Blusa Sol Linen,"Blusa oversized de lino orgánico, mangas abullonadas y botones de coco. Pre-lavada para máxima suavidad.",79.00,24.00,52,fashion,https://images.unsplash.com/photo-1551163943-3f6a855d1153?w=800
LUNA-003,Pantalón Wide Sage,"Pantalón wide leg en algodón sage, cintura alta con pinzas y bolsillos profundos.",95.00,32.00,41,fashion,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?w=800
LUNA-004,Falda Plisada Terracota,"Falda plisada midi en tono terracota, tiro alto y caída suave para uso diario u ocasión.",89.00,28.00,29,fashion,https://images.unsplash.com/photo-1583496661160-fb5886a13d44?w=800
LUNA-005,Top Crop Beige,"Top crop tejido a punto en algodón orgánico, color beige tostado, tirantes ajustables.",55.00,16.00,67,fashion,https://images.unsplash.com/photo-1564257631407-4deb1f99d992?w=800
LUNA-006,Kimono Olas Print,"Kimono ligero con estampado de olas en azul marino y arena, ideal para layering.",110.00,38.00,22,fashion,https://images.unsplash.com/photo-1578932750355-5eb30ece487a?w=800
LUNA-007,Mom Jeans Vintage Wash,"Mom jeans corte alto en denim japonés con lavado vintage, tono azul claro envejecido.",139.00,46.00,34,fashion,https://images.unsplash.com/photo-1542272604-787c3835535d?w=800
LUNA-008,Camisa Oversize Blanca,"Camisa oversize en popelín blanco, corte boyfriend y puños regulables. Perfecta sobre body.",98.00,30.00,48,fashion,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=800
LUNA-009,Vestido Slip Champagne,"Vestido slip en satén champagne, tirantes finos ajustables y caída sesgada al cuerpo.",149.00,52.00,18,fashion,https://images.unsplash.com/photo-1572804013309-59a88b7e92f1?w=800
LUNA-010,Blazer Lino Arena,"Blazer estructurado en lino arena, hombros suaves y solapas clásicas. Forrado parcial.",185.00,68.00,15,fashion,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=800
LUNA-011,Bolso Tote Yute,"Bolso tote tejido en yute natural con asas de cuero vegetal, capacidad para laptop.",69.00,22.00,73,fashion,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=800
LUNA-012,Sandalias Plataforma Crema,"Sandalias de plataforma en cuero color crema, plantilla acolchada y suela de yute.",119.00,40.00,26,fashion,https://images.unsplash.com/photo-1603487742131-4160ec999306?w=800
